Borough,Area,2014,2015,2016,2017,2018,2019,2020,2021
Camden,Inner,504,503,508,503,489,483,392,435
City of London,Inner,163,163,160,154,149,150,117,128
Hackney,Inner,469,470,480,471,456,461,390,436
Hammersmith & Fulham,Inner,511,511,528,520,527,528,411,465
Haringey,Inner,543,542,551,545,547,558,454,508
Islington,Inner,400,397,406,399,389,390,316,351
Kensington & Chelsea,Inner,503,502,512,502,519,527,425,467
Lambeth,Inner,747,743,772,778,752,762,626,706
Lewisham,Inner,754,757,789,786,757,770,633,714
Newham,Inner,887,903,925,951,953,944,805,837
Southwark,Inner,720,727,741,728,705,718,596,672
Tower Hamlets,Inner,862,848,877,881,878,876,737,804
Wandsworth,Inner,754,759,760,786,782,803,658,722
Westminster,Inner,863,872,876,861,848,824,641,693
Barking & Dagenham,Outer,653,653,673,662,660,661,559,603
Barnet,Outer,1775,1766,1751,1796,1794,1822,1448,1618
Bexley,Outer,993,1001,1031,1033,1015,1034,869,964
Brent,Outer,983,962,1008,997,999,1024,883,965
Bromley,Outer,1416,1426,1460,1450,1418,1468,1195,1368
Croydon,Outer,1333,1331,1366,1349,1333,1357,1136,1285
Ealing,Outer,1330,1338,1344,1368,1363,1370,1162,1256
Enfield,Outer,1677,1741,1753,1761,1776,1789,1441,1603
Greenwich,Outer,1178,1187,1196,1200,1195,1204,1029,1144
Harrow,Outer,653,649,661,654,643,662,520,604
Havering,Outer,1686,1692,1756,1780,1794,1830,1565,1707
Hillingdon,Outer,2441,2387,2464,2427,2456,2499,1990,2233
Hounslow,Outer,1671,1653,1707,1679,1691,1760,1319,1494
Kingston upon Thames,Outer,985,984,1012,995,986,1010,813,936
Merton,Outer,654,650,662,654,663,677,544,617
Redbridge,Outer,1178,1165,1191,1199,1220,1210,1034,1113
Richmond upon Thames,Outer,860,859,874,877,857,877,700,785
Sutton,Outer,712,712,738,730,712,731,615,693
Waltham Forest,Outer,816,772,790,797,849,834,715,769
