Borough,Area,Code,Distance travelled to work,Ttl_2011,Proportion_2011,Ttl_2021,Proportion_2021
City of London,Inner,1,2 km <,11116,3.11,676,12.64
City of London,Inner,2,2 km - 5 km,36847,10.31,385,7.20
City of London,Inner,3,5 km - 10 km,89850,25.13,241,4.51
City of London,Inner,4,10 km - 20 km,93698,26.21,82,1.53
City of London,Inner,5,20 km - 30 km,34043,9.52,15,0.28
City of London,Inner,6,30 km - 40 km,22487,6.29,7,0.13
City of London,Inner,7,40 km - 60 km,37462,10.48,9,0.17
City of London,Inner,8,60 km >,31024,8.68,28,0.52
City of London,Inner,9,Mainly at/from home,701,0.20,3602,67.35
City of London,Inner,10,No fixed place,257,0.07,303,5.67
Barking and Dagenham,Outer,1,2 km <,8014,13.65,6478,6.85
Barking and Dagenham,Outer,2,2 km - 5 km,11509,19.61,11954,12.64
Barking and Dagenham,Outer,3,5 km - 10 km,10191,17.36,11182,11.82
Barking and Dagenham,Outer,4,10 km - 20 km,6970,11.87,16820,17.78
Barking and Dagenham,Outer,5,20 km - 30 km,2947,5.02,4677,4.94
Barking and Dagenham,Outer,6,30 km - 40 km,2064,3.52,1056,1.12
Barking and Dagenham,Outer,7,40 km - 60 km,1054,1.80,594,0.63
Barking and Dagenham,Outer,8,60 km >,890,1.52,1032,1.09
Barking and Dagenham,Outer,9,Mainly at/from home,4764,8.12,19572,20.69
Barking and Dagenham,Outer,10,No fixed place,10296,17.54,21224,22.44
Barnet,Outer,1,2 km <,17176,13.15,12676,6.81
Barnet,Outer,2,2 km - 5 km,20619,15.79,15501,8.33
Barnet,Outer,3,5 km - 10 km,23139,17.72,23510,12.63
Barnet,Outer,4,10 km - 20 km,16694,12.78,22122,11.88
Barnet,Outer,5,20 km - 30 km,4976,3.81,2294,1.23
Barnet,Outer,6,30 km - 40 km,2173,1.66,795,0.43
Barnet,Outer,7,40 km - 60 km,1665,1.28,619,0.33
Barnet,Outer,8,60 km >,2732,2.09,1162,0.62
Barnet,Outer,9,Mainly at/from home,21611,16.55,79628,42.77
Barnet,Outer,10,No fixed place,19791,15.16,27869,14.97
Bexley,Outer,1,2 km <,10826,14.40,7959,6.75
Bexley,Outer,2,2 km - 5 km,16140,21.46,13246,11.23
Bexley,Outer,3,5 km - 10 km,12531,16.66,13754,11.66
Bexley,Outer,4,10 km - 20 km,7707,10.25,15404,13.06
Bexley,Outer,5,20 km - 30 km,3108,4.13,4488,3.80
Bexley,Outer,6,30 km - 40 km,1824,2.43,1014,0.86
Bexley,Outer,7,40 km - 60 km,939,1.25,591,0.50
Bexley,Outer,8,60 km >,1485,1.97,835,0.71
Bexley,Outer,9,Mainly at/from home,8663,11.52,40692,34.49
Bexley,Outer,10,No fixed place,11979,15.93,20001,16.95
Brent,Outer,1,2 km <,14975,12.91,13873,8.62
Brent,Outer,2,2 km - 5 km,21094,18.19,23212,14.42
Brent,Outer,3,5 km - 10 km,20284,17.49,23900,14.85
Brent,Outer,4,10 km - 20 km,14409,12.43,16535,10.27
Brent,Outer,5,20 km - 30 km,5162,4.45,2057,1.28
Brent,Outer,6,30 km - 40 km,1603,1.38,623,0.39
Brent,Outer,7,40 km - 60 km,1705,1.47,566,0.35
Brent,Outer,8,60 km >,2459,2.12,1478,0.92
Brent,Outer,9,Mainly at/from home,13058,11.26,48987,30.43
Brent,Outer,10,No fixed place,21202,18.29,29763,18.49
Bromley,Outer,1,2 km <,16161,14.40,9359,5.77
Bromley,Outer,2,2 km - 5 km,21194,18.88,13633,8.41
Bromley,Outer,3,5 km - 10 km,21753,19.38,15786,9.74
Bromley,Outer,4,10 km - 20 km,13050,11.62,19654,12.12
Bromley,Outer,5,20 km - 30 km,3642,3.24,4464,2.75
Bromley,Outer,6,30 km - 40 km,2599,2.32,1046,0.65
Bromley,Outer,7,40 km - 60 km,1380,1.23,495,0.31
Bromley,Outer,8,60 km >,2118,1.89,841,0.52
Bromley,Outer,9,Mainly at/from home,16167,14.40,75511,46.58
Bromley,Outer,10,No fixed place,14197,12.65,21333,13.16
Camden,Inner,1,2 km <,17360,6.34,9572,9.34
Camden,Inner,2,2 km - 5 km,37083,13.54,11530,11.25
Camden,Inner,3,5 km - 10 km,69978,25.55,9350,9.12
Camden,Inner,4,10 km - 20 km,69289,25.29,2928,2.86
Camden,Inner,5,20 km - 30 km,16918,6.18,562,0.55
Camden,Inner,6,30 km - 40 km,8428,3.08,192,0.19
Camden,Inner,7,40 km - 60 km,13437,4.91,247,0.24
Camden,Inner,8,60 km >,17829,6.51,593,0.58
Camden,Inner,9,Mainly at/from home,14893,5.44,58110,56.69
Camden,Inner,10,No fixed place,8722,3.18,9429,9.20
Croydon,Outer,1,2 km <,22368,18.46,13941,7.36
Croydon,Outer,2,2 km - 5 km,23650,19.51,19863,10.49
Croydon,Outer,3,5 km - 10 km,22079,18.22,23782,12.56
Croydon,Outer,4,10 km - 20 km,10471,8.64,24188,12.77
Croydon,Outer,5,20 km - 30 km,3723,3.07,4639,2.45
Croydon,Outer,6,30 km - 40 km,1603,1.32,1006,0.53
Croydon,Outer,7,40 km - 60 km,1823,1.50,797,0.42
Croydon,Outer,8,60 km >,2579,2.13,1175,0.62
Croydon,Outer,9,Mainly at/from home,15887,13.11,70976,37.47
Croydon,Outer,10,No fixed place,17006,14.03,29040,15.33
Ealing,Outer,1,2 km <,17350,13.01,14152,8.09
Ealing,Outer,2,2 km - 5 km,24461,18.34,20953,11.97
Ealing,Outer,3,5 km - 10 km,25094,18.82,25070,14.32
Ealing,Outer,4,10 km - 20 km,16463,12.34,18816,10.75
Ealing,Outer,5,20 km - 30 km,6025,4.52,2623,1.50
Ealing,Outer,6,30 km - 40 km,2332,1.75,704,0.40
Ealing,Outer,7,40 km - 60 km,2091,1.57,687,0.39
Ealing,Outer,8,60 km >,3915,2.94,1218,0.70
Ealing,Outer,9,Mainly at/from home,15343,11.51,63137,36.07
Ealing,Outer,10,No fixed place,20284,15.21,27663,15.81
Enfield,Outer,1,2 km <,15685,14.78,12252,8.52
Enfield,Outer,2,2 km - 5 km,21940,20.67,17946,12.47
Enfield,Outer,3,5 km - 10 km,18298,17.24,16531,11.49
Enfield,Outer,4,10 km - 20 km,12770,12.03,20771,14.44
Enfield,Outer,5,20 km - 30 km,4404,4.15,3068,2.13
Enfield,Outer,6,30 km - 40 km,1899,1.79,1049,0.73
Enfield,Outer,7,40 km - 60 km,1562,1.47,602,0.42
Enfield,Outer,8,60 km >,1953,1.84,1073,0.75
Enfield,Outer,9,Mainly at/from home,12531,11.81,44977,31.26
Enfield,Outer,10,No fixed place,15106,14.23,25595,17.79
Greenwich,Outer,1,2 km <,11864,13.68,9067,6.34
Greenwich,Outer,2,2 km - 5 km,16527,19.06,13805,9.66
Greenwich,Outer,3,5 km - 10 km,17063,19.68,17879,12.51
Greenwich,Outer,4,10 km - 20 km,9432,10.88,19159,13.40
Greenwich,Outer,5,20 km - 30 km,2962,3.42,2135,1.49
Greenwich,Outer,6,30 km - 40 km,2171,2.50,1090,0.76
Greenwich,Outer,7,40 km - 60 km,1272,1.47,618,0.43
Greenwich,Outer,8,60 km >,2061,2.38,1164,0.81
Greenwich,Outer,9,Mainly at/from home,9731,11.22,57959,40.55
Greenwich,Outer,10,No fixed place,13612,15.70,20058,14.03
Hackney,Inner,1,2 km <,14940,14.36,13715,10.21
Hackney,Inner,2,2 km - 5 km,16627,15.98,16334,12.16
Hackney,Inner,3,5 km - 10 km,18569,17.85,15674,11.67
Hackney,Inner,4,10 km - 20 km,16459,15.82,5068,3.77
Hackney,Inner,5,20 km - 30 km,4217,4.05,843,0.63
Hackney,Inner,6,30 km - 40 km,1883,1.81,319,0.24
Hackney,Inner,7,40 km - 60 km,3206,3.08,370,0.28
Hackney,Inner,8,60 km >,3530,3.39,724,0.54
Hackney,Inner,9,Mainly at/from home,12060,11.59,66844,49.77
Hackney,Inner,10,No fixed place,12556,12.07,14420,10.74
Hammersmith and Fulham,Inner,1,2 km <,14508,11.60,9057,9.23
Hammersmith and Fulham,Inner,2,2 km - 5 km,18700,14.95,11105,11.32
Hammersmith and Fulham,Inner,3,5 km - 10 km,24835,19.85,12067,12.30
Hammersmith and Fulham,Inner,4,10 km - 20 km,30589,24.45,3567,3.64
Hammersmith and Fulham,Inner,5,20 km - 30 km,6303,5.04,553,0.56
Hammersmith and Fulham,Inner,6,30 km - 40 km,2813,2.25,230,0.23
Hammersmith and Fulham,Inner,7,40 km - 60 km,3407,2.72,213,0.22
Hammersmith and Fulham,Inner,8,60 km >,5249,4.20,511,0.52
Hammersmith and Fulham,Inner,9,Mainly at/from home,10603,8.47,51319,52.32
Hammersmith and Fulham,Inner,10,No fixed place,8112,6.48,9471,9.66
Haringey,Inner,1,2 km <,10649,13.07,8994,6.69
Haringey,Inner,2,2 km - 5 km,14646,17.97,11812,8.79
Haringey,Inner,3,5 km - 10 km,12603,15.46,21803,16.22
Haringey,Inner,4,10 km - 20 km,8566,10.51,11498,8.56
Haringey,Inner,5,20 km - 30 km,2770,3.40,1642,1.22
Haringey,Inner,6,30 km - 40 km,770,0.94,481,0.36
Haringey,Inner,7,40 km - 60 km,1022,1.25,425,0.32
Haringey,Inner,8,60 km >,1408,1.73,923,0.69
Haringey,Inner,9,Mainly at/from home,12640,15.51,55767,41.50
Haringey,Inner,10,No fixed place,16423,20.15,21036,15.65
Harrow,Outer,1,2 km <,11809,15.86,8875,7.10
Harrow,Outer,2,2 km - 5 km,15026,20.18,12883,10.30
Harrow,Outer,3,5 km - 10 km,11116,14.93,13939,11.15
Harrow,Outer,4,10 km - 20 km,6409,8.61,16161,12.92
Harrow,Outer,5,20 km - 30 km,2448,3.29,3727,2.98
Harrow,Outer,6,30 km - 40 km,1165,1.56,848,0.68
Harrow,Outer,7,40 km - 60 km,777,1.04,663,0.53
Harrow,Outer,8,60 km >,1415,1.90,1140,0.91
