Borough,Area,2014,2015,2016,2017,2018,2019,2020,2021
Camden,Inner,50635,50087,49762,47781,43459,42098,41297,38080
City of London,Inner,2813,2762,2867,2658,2530,2455,2292,2208
Hackney,Inner,41129,42394,42883,42841,42540,42026,42605,41256
Hammersmith & Fulham,Inner,43076,43830,43896,43852,43597,43670,43968,42387
Haringey,Inner,61758,63622,64897,64881,64303,63827,64106,61915
Islington,Inner,36618,37358,37372,36727,36815,35921,35665,34217
Kensington & Chelsea,Inner,42320,42068,41699,41247,40689,39680,38510,36884
Lambeth,Inner,64086,65743,66980,66943,66156,64617,65167,63142
Lewisham,Inner,76037,78029,79792,79997,79598,78715,78823,76459
Newham,Inner,63189,66964,69699,72189,72411,72632,72759,69266
Southwark,Inner,58160,59240,59824,59721,58935,58396,58574,56372
Tower Hamlets,Inner,43550,45234,46252,46694,46405,46729,46529,45907
Wandsworth,Inner,81888,82755,83018,82860,81981,81203,81757,80003
Westminster,Inner,51425,50779,50516,51605,49714,49452,47377,45464
Barking & Dagenham,Outer,61807,64771,66390,66887,67855,68575,68561,67523
Barnet,Outer,142767,145410,147786,147703,147282,147494,144547,140624
Bexley,Outer,109808,111208,112706,113172,112563,112522,111562,109845
Brent,Outer,96423,99387,101247,98444,97867,97348,96038,93102
Bromley,Outer,153709,155548,157357,157146,156765,156112,154575,152140
Croydon,Outer,142100,145573,148256,148184,148620,148103,147340,144345
Ealing,Outer,119195,122331,123426,122672,121257,120829,119880,117411
Enfield,Outer,123727,126627,128419,127874,127375,127188,126146,123627
Greenwich,Outer,76513,78626,80297,80717,81211,80905,80947,78878
Harrow,Outer,102000,103779,104675,104249,103568,103572,102085,99832
Havering,Outer,120051,122809,124749,124686,124564,124275,122873,121714
Hillingdon,Outer,146418,148315,148130,148038,152602,153321,142463,141980
Hounslow,Outer,98384,100186,101566,101977,102085,102357,100807,98526
Kingston upon Thames,Outer,69088,69878,70562,70413,69986,70043,68512,67565
Merton,Outer,75250,76593,78497,76811,76159,73974,74238,73385
Redbridge,Outer,106253,108099,109740,109539,109045,109087,107481,105083
Richmond upon Thames,Outer,78945,79178,79553,79704,79062,78527,77721,76434
Sutton,Outer,91176,92461,93540,93815,93650,93763,92653,91387
Waltham Forest,Outer,78964,81307,83037,82998,82200,81735,81226,78183
