Borough,Area,2015,2016,2017,2018,2019,2020,2021
Camden,Inner,237000,246000,250000,256000,260000,263000,210100
City of London,Inner,,,,,,,8600
Hackney,Inner,268000,272000,277000,281000,285000,289000,259200
Hammersmith and Fulham,Inner,176000,181000,182000,180000,180000,180000,183200
Haringey,Inner,270000,275000,278000,276000,279000,281000,264200
Islington,Inner,224000,230000,234000,237000,240000,243000,216600
Kensington and Chelsea,Inner,154000,156000,157000,154000,154000,154000,143400
Lambeth,Inner,320000,325000,329000,326000,328000,329000,317600
Lewisham,Inner,295000,300000,304000,305000,309000,312000,300600
Newham,Inner,329000,339000,346000,354000,358000,362000,351100
Southwark,Inner,305000,312000,317000,317000,321000,323000,307700
Tower Hamlets,Inner,293000,302000,311000,314000,320000,326000,310300
Wandsworth,Inner,311000,317000,320000,323000,325000,326000,327500
Westminster,Inner,243000,251000,255000,251000,253000,255000,204300
Barking and Dagenham,Outer,201000,206000,210000,215000,219000,222000,218900
Barnet,Outer,378000,385000,391000,391000,396000,400000,389300
Bexley,Outer,242000,244000,247000,249000,251000,254000,246500
Brent,Outer,323000,329000,333000,328000,330000,332000,339800
Bromley,Outer,322000,326000,330000,332000,335000,338000,330000
Croydon,Outer,377000,382000,387000,387000,390000,393000,390800
Ealing,Outer,340000,346000,348000,343000,344000,344000,367100
Enfield,Outer,326000,332000,336000,337000,340000,343000,330000
Greenwich,Outer,271000,276000,280000,285000,289000,292000,289100
Harrow,Outer,246000,250000,252000,249000,250000,251000,261300
Havering,Outer,248000,250000,253000,258000,261000,264000,262000
Hillingdon,Outer,296000,302000,307000,306000,310000,313000,305900
Hounslow,Outer,268000,274000,278000,271000,273000,275000,288200
Kingston upon Thames,Outer,171000,175000,178000,177000,179000,181000,168000
Merton,Outer,203000,207000,210000,208000,209000,210000,215200
Redbridge,Outer,296000,302000,307000,307000,311000,314000,310300
Richmond upon Thames,Outer,194000,198000,201000,197000,198000,200000,195200
Sutton,Outer,199000,202000,204000,204000,206000,208000,209600
Waltham Forest,Outer,269000,274000,277000,278000,280000,282000,278400
