Borough,2015_cycles,2016_cycles,2017_cycles,2018_cycles,2019_cycles,2020_cycles,2021_cycles
Barking & Dagenham,1177,1073,1025,1220,939,1066,1269
Barnet,2126,2310,2255,2270,2369,1049,2930
Bexley,987,993,1032,1002,954,864,979
Brent,3183,3169,3577,3633,3112,2988,3929
Bromley,2347,2136,2566,2492,2402,1416,3087
Croydon,2319,2498,2613,2613,2508,1922,2701
Ealing,5767,5444,5306,6257,5757,6123,6401
Enfield,1496,1339,1686,1568,1342,984,1296
Greenwich,2430,2482,2762,2840,2698,1212,3316
Haringey,3533,3484,3222,3506,3283,3338,4693
Harrow,756,641,668,942,661,1056,651
Havering,1418,1408,1667,1500,1189,970,1168
Hillingdon,3439,3224,3234,3805,3012,2060,3448
Hounslow,5823,5502,6073,5985,5210,5759,5796
Kingston upon Thames,4359,4594,5198,5560,4730,4397,5082
Lambeth,149,178,182,174,152,,237
Lewisham,3760,3673,3922,4442,4204,3434,4420
Merton,4185,3975,3813,5101,3723,4343,4890
Newham,4325,4448,5158,5604,5121,5505,7211
Redbridge,1601,1441,1562,1667,1225,1605,2532
Richmond upon Thames,8809,8916,8478,9042,8158,8919,9303
Sutton,2047,2172,2267,2566,2065,1564,2597
Waltham Forest,3325,3203,3322,3832,3468,3388,4199
Wandsworth,33,42,60,72,46,,79
