FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,asl_length_m
RWG276569,2018-03-07,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276569_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276569_2.jpg,"c(-0.1092281318, -0.1091707856, 51.6179137048, 51.6179092079)",3.99070961728055
RWG276570,2018-03-09,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276570_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276570_2.jpg,"c(-0.1098967152, -0.1098310271, 51.6157537853, 51.6157462586)",4.61198505837919
RWG276571,2018-03-09,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276571_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276571_2.jpg,"c(-0.109366475, -0.1093217146, 51.6178078951, 51.6177799734)",4.38059670827043
RWG150409,2017-09-19,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150409_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150409_2.jpg,"c(-0.0954800686, -0.0953756273, 51.6320199482, 51.6319836049)",8.2640280892118
RWG150410,2017-09-20,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150410_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150410_2.jpg,"c(-0.0600649014, -0.0601774558, 51.6448590734, 51.6448595304)",7.76645825689871
RWG150415,2017-09-21,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150415_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150415_2.jpg,"c(-0.0642467125, -0.0642596836, 51.614950115, 51.614912758)",4.24936633332552
RWG150416,2017-09-21,0,0,0,0,0,GREEN,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150416_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150416_2.jpg,"c(-0.064592028, -0.0645924904, 51.6144106127, 51.6144421978)",3.51225350566198
RWG150424,2017-09-22,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150424_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150424_2.jpg,"c(-0.0190475453, -0.0191386019, 51.6707019696, 51.670694876)",6.3287016579024
RWG150449,2017-09-27,0,0,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150449_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150449_2.jpg,"c(-0.1092105009, -0.1092864815, 51.6156927017, 51.615693984)",5.2479965383275
RWG150329,2017-09-18,1,1,0,0,0,NONE,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150329_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150329_2.jpg,"c(-0.048765418, -0.0488085779, 51.6485580011, 51.6485606211)",2.99202192869173
