,UnqID,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area
0,CENCY001,CENCY,Central area cycle surveys,530251.49,178742.45,Millbank (south of Thorney Street),Westminster,Central
1,CENCY002,CENCY,Central area cycle surveys,533362.68,181824.45,Bishopsgate,City of London,Central
2,CENCY003,CENCY,Central area cycle surveys,532334.06,180520.37,Southwark Bridge,Southwark,Central
3,CENCY004,CENCY,Central area cycle surveys,532052.5,179677.64,Southwark Bridge Road,Southwark,Central
4,CENCY005,CENCY,Central area cycle surveys,533031.59,180213.46,Tooley Street,Southwark,Central
5,CENCY006,CENCY,Central area cycle surveys,532263.5,180067.71,Southwark Bridge Road (north - between Flat Iron Square and America Street),Southwark,Central
6,CENCY007,CENCY,Central area cycle surveys,530467.76,178622.08,Albert Embankment (south of Salamanca Street),Lambeth,Central
7,CENCY008,CENCY,Central area cycle surveys,530347.31,180653.54,Strand,Westminster,Central
8,CENCY009,CENCY,Central area cycle surveys,529990.4,180677.24,Charing Cross Road,Westminster,Central
9,CENCY010,CENCY,Central area cycle surveys,530804.02,179489.31,Lambeth Palace Road,Lambeth,Central
10,CENCY011,CENCY,Central area cycle surveys,530147.22,180015.05,Whitehall (south of Horse Guards Avenue),Westminster,Central
11,CENCY012,CENCY,Central area cycle surveys,530573.64,179657.29,Westminster Bridge,Lambeth,Central
12,CENCY013,CENCY,Central area cycle surveys,530526.13,180526.32,Victoria Embankment (by Cleopatra's Needle),Westminster,Central
13,CENCY014,CENCY,Central area cycle surveys,530326.96,179837.81,Victoria Embankment (between Derby Gate and Westminster Bridge),Westminster,Central
14,CENCY015,CENCY,Central area cycle surveys,530201.66,179250.93,Millbank (north of Great Peter Street),Westminster,Central
15,CENCY016,CENCY,Central area cycle surveys,530398.21,178956.9,Lambeth Bridge,Westminster,Central
16,CENCY017,CENCY,Central area cycle surveys,530788.45,180526.51,Waterloo Bridge,Lambeth,Central
17,CENCY018,CENCY,Central area cycle surveys,529919.79,179492.54,Victoria Street,Westminster,Central
18,CENCY019,CENCY,Central area cycle surveys,530249.63,179666.46,Bridge Street,Westminster,Central
19,CENCY020,CENCY,Central area cycle surveys,529532.62,180244.98,Pall Mall,Westminster,Central
20,CENCY021,CENCY,Central area cycle surveys,528969.24,179397.26,Buckingham Palace Road,Westminster,Central
21,CENCY022,CENCY,Central area cycle surveys,530165.28,180354.63,Northumberland Avenue,Westminster,Central
22,CENCY023,CENCY,Central area cycle surveys,531158.29,179306.78,Kennington Road (north),Lambeth,Central
23,CENCY024,CENCY,Central area cycle surveys,530991.24,179111.59,Lambeth Road,Lambeth,Central
24,CENCY025,CENCY,Central area cycle surveys,531238.86,179007.35,Kennington Road (south of Brook Drive),Lambeth,Central
25,CENCY026,CENCY,Central area cycle surveys,531035.36,179520.77,Westminster Bridge Road,Lambeth,Central
26,CENCY027,CENCY,Central area cycle surveys,531450.89,179614.73,Waterloo Road,Southwark,Central
27,CENCY028,CENCY,Central area cycle surveys,531651.06,180066.48,Blackfriars Road (Southwark station),Southwark,Central
28,CENCY029,CENCY,Central area cycle surveys,531293.47,180816.83,Temple,City of London,Central
29,CENCY030,CENCY,Central area cycle surveys,531646.25,180576.49,Blackfriars Bridge,City of London,Central
30,CENCY031,CENCY,Central area cycle surveys,532836.82,180658.1,London Bridge,City of London,Central
31,CENCY032,CENCY,Central area cycle surveys,532579.63,180056.66,Borough High Street,Southwark,Central
32,CENCY033,CENCY,Central area cycle surveys,533261.75,179628.74,Bermondsey Street,Southwark,Central
33,CENCY034,CENCY,Central area cycle surveys,531829.05,179236.27,London Road,Southwark,Central
34,CENCY035,CENCY,Central area cycle surveys,531721.16,180348.33,Southwark Street,Southwark,Central
35,CENCY036,CENCY,Central area cycle surveys,531346.01,179259.15,Lambeth Road (west of St. George's Road),Southwark,Central
36,CENCY037,CENCY,Central area cycle surveys,531859.0,179485.0,Borough Road,Southwark,Central
37,CENCY038,CENCY,Central area cycle surveys,533678.42,180836.05,Minories,City of London,Central
38,CENCY039,CENCY,Central area cycle surveys,532949.2,180894.99,Gracechurch Street,City of London,Central
39,CENCY040,CENCY,Central area cycle surveys,531652.69,179548.54,Blackfriars Road,Southwark,Central
40,CENCY041,CENCY,Central area cycle surveys,531826.01,181393.34,Newgate Street,City of London,Central
41,CENCY042,CENCY,Central area cycle surveys,530921.04,181605.18,High Holborn,Camden,Central
42,CENCY043,CENCY,Central area cycle surveys,531279.1,181577.28,Holborn,City of London,Central
43,CENCY044,CENCY,Central area cycle surveys,531647.29,181040.0,New Bridge Street,City of London,Central
