FEATURE_ID,SVDATE,RES_PEDEST,RES_BRIDGE,RES_TUNNEL,RES_STEPS,RES_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,res_length_m
RWG276644,2018-03-09,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276644_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276644_2.jpg,"list(c(-0.0530542188, -0.0528970068, 51.6130548186, 51.6130633142))",10.8963152458835
RWG150583,2017-09-14,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150583_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150583_2.jpg,"list(c(-0.1075166386, -0.1076293432, 51.6430414555, 51.6430817244))",8.97390712094404
RWG150621,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150621_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150621_2.jpg,"list(c(-0.0607320613, -0.0608851399, 51.6712972103, 51.6713138005))",10.7162891061536
RWG150622,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150622_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150622_2.jpg,"list(c(-0.0602313985, -0.0601342315, 51.6713619867, 51.6714181699))",9.16117822687451
RWG150604,2017-09-17,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150604_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150604_2.jpg,"list(c(-0.0835435266, -0.0836201123, 51.6579637691, 51.6578899059))",9.76556629955087
RWG150605,2017-09-18,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150605_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150605_2.jpg,"list(c(-0.0797429258, -0.0796102133, 51.658875646, 51.6588638695))",9.24756155053671
RWG150606,2017-09-18,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150606_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150606_2.jpg,"list(c(-0.0670249877, -0.0668885232, 51.6586650313, 51.6586597093))",9.43181349632326
RWG150608,2017-09-19,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150608_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150608_2.jpg,"list(c(-0.0413376819, -0.0413587071, 51.6683217732, 51.6682960551))",3.20632562033666
RWG150610,2017-09-19,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150610_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150610_2.jpg,"list(c(-0.0947826368, -0.0949401494, 51.6719856806, 51.6719328824))",12.3470203036709
RWG150613,2017-09-19,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150613_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150613_2.jpg,"list(c(-0.0540215305, -0.0540399115, 51.6791554992, 51.6790633987))",10.3192428131244
RWG150615,2017-09-19,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150615_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150615_2.jpg,"list(c(-0.0540036428, -0.053907669, -0.0538932176, 51.679342753, 51.6793972738, 51.6794031356))",10.165076859844
RWG150616,2017-09-19,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150616_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150616_2.jpg,"list(c(-0.0997715586, -0.0998292374, 51.622338989, 51.6222178249))",14.0489445929829
RWG150618,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150618_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150618_2.jpg,"list(c(-0.0390570716, -0.0391896261, -0.0392231501, -0.0392410962, 51.6710668691, 51.6710674947, 51.6710955428, 51.6711108159))",15.1248667422694
RWG150591,2017-09-15,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150591_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150591_2.jpg,"list(c(-0.039354767, -0.0394144149, -0.0394881883, -0.0395768166, 51.6824438488, 51.6825557074, 51.6826229378, 51.6826467374))",28.8009072321522
RWG150592,2017-09-15,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150592_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150592_2.jpg,"list(c(-0.0393107275, -0.0378399639, 51.6824012521, 51.682328778))",101.718952460092
RWG150619,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150619_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150619_2.jpg,"list(c(-0.0982755227, -0.098088158, -0.0979473944, 51.6268073909, 51.6272945573, 51.6281337802))",149.515003479545
RWG150620,2017-09-20,1,0,1,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150620_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150620_2.jpg,"list(c(-0.0288892611, -0.0285591638, 51.6712517135, 51.6713018967))",23.4375155678897
RWG150584,2017-09-14,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150584_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150584_2.jpg,"list(c(-0.085675358, -0.0858195534, 51.64053996, 51.6403648207))",21.8694701870112
RWG150585,2017-09-15,1,1,0,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150585_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150585_2.jpg,"list(c(-0.1055817273, -0.1056417707, 51.6396111544, 51.6396990705))",10.6177000853068
RWG150589,2017-09-15,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150589_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150589_2.jpg,"list(c(-0.1108354519, -0.110851635, 51.6465111794, 51.646423608))",9.80132182223262
RWG150590,2017-09-15,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150590_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150590_2.jpg,"list(c(-0.1130833832, -0.1132070713, 51.6469095704, 51.6468689382))",9.65633316899494
RWG187799,2018-01-22,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG187799_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG187799_2.jpg,"list(c(-0.0550818209, -0.0549262841, 51.6685242578, 51.6689008131))",43.2232117279451
RWG276630,2018-03-09,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276630_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276630_2.jpg,"list(c(-0.0600295243, -0.0599929728, 51.623045435, 51.6231372988))",10.5218418949502
RWG276637,2018-03-09,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276637_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276637_2.jpg,"list(c(-0.0572894108, -0.0572665614, 51.660086054, 51.6601825182))",10.8415198772217
RWG150625,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150625_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150625_2.jpg,"list(c(-0.04945894, -0.0489884371, -0.0485780304, -0.0484563057, -0.0483346698, -0.0482870118, -0.0482114461, -0.0481654481, -0.048133528, -0.0481310371, -0.0481520215, -0.0481858985, -0.0482090323, -0.048255446, -0.0483139526, -0.048378149, -0.0484021571, -0.0484702663, -0.0484924063, 51.682570994, 51.682613988, 51.6827340944, 51.6827921442, 51.6828853671, 51.6829311239, 51.6830419748, 51.6831486985, 51.6832951191, 51.6833375674, 51.6833896086, 51.6834554318, 51.6834883397, 51.6835242828, 51.6835557058, 
51.683580293, 51.6835915942, 51.6836222451, 51.6836472188))",185.218109626983
