,Borough,Year,Number of private cycles,Number of cycle hire bikes,Total_cycles
0,Camden,2014,241626,28591,270217.0
5,Camden,2019,265966,30832,296798.0
8,City of London,2014,308651,38141,346792.0
13,City of London,2019,426720,55365,482085.0
16,Hackney,2014,2864,472,3336.0
21,Hackney,2019,6113,678,6791.0
24,Islington,2014,120968,12386,133354.0
29,Islington,2019,133374,13319,146693.0
32,Lambeth,2014,163769,17871,181640.0
37,Lambeth,2019,153244,21397,174641.0
40,Southwark,2014,197126,16344,213470.0
45,Southwark,2019,272904,24116,297020.0
48,Tower Hamlets,2014,2432,476,2908.0
53,Tower Hamlets,2019,3282,506,3788.0
56,Westminster,2014,398925,52355,451280.0
61,Westminster,2019,425736,68449,494185.0
