Borough,Area,2016,2018,2019,2020,2021
Camden,Inner,0,5,20,37,36
City of London,Inner,24,90,92,92,97
Hackney,Inner,20,45,44,47,50
Hammersmith & Fulham,Inner,0,3,3,3,11
Haringey,Inner,10,11,11,11,12
Islington,Inner,3,13,22,29,34
Kensington & Chelsea,Inner,1,43,45,46,56
Lambeth,Inner,17,26,27,41,43
Lewisham,Inner,4,5,5,16,16
Newham,Inner,8,8,17,24,24
Southwark,Inner,17,18,27,44,49
Tower Hamlets,Inner,30,35,37,39,40
Wandsworth,Inner,22,22,23,34,30
Westminster,Inner,11,19,31,39,46
Barking & Dagenham,Outer,1,2,2,5,5
Barnet,Outer,0,0,0,0,0
Bexley,Outer,0,1,1,1,1
Brent,Outer,0,7,6,8,10
Bromley,Outer,0,0,0,0,3
Croydon,Outer,0,0,0,9,0
Ealing,Outer,0,1,1,6,14
Enfield,Outer,0,0,7,19,29
Greenwich,Outer,2,7,13,25,27
Harrow,Outer,0,0,0,0,0
Havering,Outer,0,0,0,0,0
Hillingdon,Outer,0,0,0,2,3
Hounslow,Outer,0,0,0,8,6
Kingston upon Thames,Outer,0,4,10,25,24
Merton,Outer,3,3,4,10,10
Redbridge,Outer,0,7,6,7,7
Richmond upon Thames,Outer,0,0,0,3,3
Sutton,Outer,0,0,0,0,0
Waltham Forest,Outer,0,5,12,33,39
