id,lat,lon,location,date,time,borough,mode,year
355411,51.295233,-0.131061,On Ditches Lane 1400 metres north of The Junction With Rook Lane,2019-06-01,11:42:00,Croydon, PedalCycle,2019
310697,51.306105,-0.148022,Starrock Road junction with Petworth Close,2017-04-26,07:15:00,Croydon, PedalCycle,2017
310704,51.308056,-0.129292,Mead Way 21 metres south of junction with Tollers Lane,2017-04-24,07:45:00,Croydon, PedalCycle,2017
367157,51.310405,-0.144721,On Harwoods Garage- Brighton Road Near The Junction With Na,2019-11-12,14:20:00,Croydon, PedalCycle,2019
310346,51.310609,0.035676,Main Road 25 metres south of junction with Lebanon Gardens,2017-12-02,14:09:00,Bromley, PedalCycle,2017
310643,51.310816,-0.144533,Brighton Road 21 metres east of junction with Woodplace Lane,2017-03-25,16:08:00,Croydon, PedalCycle,2017
311101,51.312625,-0.152595,Portnalls Road 500 metres south of junction with Portnalls Rise Coulsdon,2017-10-04,12:58:00,Croydon, PedalCycle,2017
729636,51.314833,0.047171,On Jail Lane Near The Junction With The Laurels,2019-07-13,07:40:00,Bromley, PedalCycle,2019
336453,51.315605,0.058571,Single Street junction with Berry's Hill,2018-09-14,14:30:00,Bromley, PedalCycle,2018
718391,51.317262,-0.138733,On Brighton Road Near The Junction With Marlpit Lane,2019-01-27,10:20:00,Croydon, PedalCycle,2019
337543,51.319836,-0.140581,Lion Green Road 20 metres south east of junction with Chisptead Valley Road,2018-12-08,09:20:00,Croydon, PedalCycle,2018
730073,51.320551,0.028696,On Main Road Near The Junction With Main Road,2019-06-29,07:25:00,Bromley, PedalCycle,2019
345860,51.324401,-0.113944,On Higher Drive 30 metres north of The Junction With Cullesden Ro,2019-01-01,21:15:00,Croydon, PedalCycle,2019
337275,51.325769,-0.129145,B2030 junction with Windermere Road,2018-08-23,17:30:00,Croydon, PedalCycle,2018
337022,51.325863,-0.129429,Stoats Nest Road junction with Windemere Road,2018-05-12,12:55:00,Croydon, PedalCycle,2018
310707,51.326086,-0.137744,Woodcote Grove Road junction with The Wend,2017-04-10,13:15:00,Croydon, PedalCycle,2017
310070,51.326127,0.063635,Downe Road 0 metres south of junction with Downe Road,2017-08-05,09:20:00,Bromley, PedalCycle,2017
310828,51.327359,-0.116162,Higher Drive junction with Burcott Road,2017-06-08,21:55:00,Croydon, PedalCycle,2017
310291,51.328339,0.014069,Jewels Hill 100 metres west of junction with Oaklands Lane,2017-11-12,10:25:00,Bromley, PedalCycle,2017
309773,51.328342,0.013925,Jewels Hill 125 metres west of junction with Oaklands Lane,2017-03-18,08:10:00,Bromley, PedalCycle,2017
336514,51.329717,0.012407,Jewels Hill junction with No Junction,2018-10-06,12:30:00,Bromley, PedalCycle,2018
363351,51.330371,-0.324408,On Leatherhead Road 500 metres north of The Junction With The Avenue,2019-09-21,09:49:00,Kingston upon Thames, PedalCycle,2019
337139,51.331312,-0.138394,Smitham Bottom Lane junction with Smitham Downs Road,2018-06-30,08:15:00,Croydon, PedalCycle,2018
337429,51.331402,-0.13839,Smitham Bottom Lane junction with Woodcote Valley Road,2018-10-27,14:00:00,Croydon, PedalCycle,2018
367071,51.332051,0.003221,On Skid Hill Lane Near The Junction With King Henrys Drive,2019-11-10,10:00:00,Croydon, PedalCycle,2019
365154,51.332911,-0.123084,On Brighton Road 50 metres north of The Junction With Brighton Ro,2019-10-16,07:20:00,Croydon, PedalCycle,2019
310921,51.333487,-0.122515,Brighton Road junction with Grovelands Road,2017-07-18,10:34:00,Croydon, PedalCycle,2017
310631,51.333609,-0.015416,Featherbed Lane 900 metres south of junction with Farleigh Dean Crescent,2017-03-31,16:00:00,Croydon, PedalCycle,2017
356351,51.334196,-0.121897,On Brighton Road 70 metres north of The Junction With The Drive,2019-06-14,07:41:00,Croydon, PedalCycle,2019
336303,51.334727,0.003438,Keston Showman's Park junction with Keston Showmans Park,2018-06-30,10:15:00,Bromley, PedalCycle,2018
729515,51.335841,0.053864,On Luxted Road Near The Junction With High Street Downe,2019-07-11,13:38:00,Bromley, PedalCycle,2019
356576,51.336182,-0.113992,On Foxley Hill Road Near The Junction With Foxley Hill Road,2019-06-17,13:45:00,Croydon, PedalCycle,2019
357419,51.337379,0.078814,On Cudham Lane north 200 metres east of The Junction With Cudham,2019-06-28,13:36:00,Bromley, PedalCycle,2019
